# MNE-Annotations
# orig_time : 2013-11-26 23:15:06.468396   
# onset, duration, description
1659.88501,1.6732177734375,sw
1680.0,30.0,2.0
1680.361084,1.0816650390625,sw
1683.268066,0.52392578125,sw
1694.106079,1.18310546875,sw
1695.525879,1.064697265625,sw
1702.387817,0.6253662109375,sw
1703.515991,0.895751953125,sw
1707.542725,0.6929931640625,kc
1708.535645,0.591552734375,sw
1710.0,30.0,3.0
1711.003296,1.115478515625,sw
1716.056885,1.70703125,sw
1719.859619,0.507080078125,kc
1720.899048,1.5380859375,sw
1731.390625,0.676025390625,kc
1736.106079,0.6761474609375,ambiguo
1740.0,30.0,2.0
1744.011719,0.371826171875,kc
1745.600464,0.79443359375,sw
1747.797729,0.4224853515625,kc
1751.089233,0.828125,ambiguo
1755.365234,0.4732666015625,kc
1760.701904,1.0478515625,sw
1762.370972,0.7098388671875,sw
1765.531494,0.980224609375,sw
1770.0,30.0,2.0
1781.96814,0.6590576171875,sw
1782.81311,0.8282470703125,kc
1783.996216,1.301513671875,sw
1789.168091,0.52392578125,kc
1799.000488,0.6929931640625,kc
1800.0,30.0,2.0
1806.492065,0.540771484375,sw
1814.942749,0.726806640625,sw
1816.831421,0.8282470703125,kc
1824.487793,0.7606201171875,sw
1825.759644,1.2337646484375,sw
1830.0,30.0,3.0
1833.939941,0.5408935546875,kc
1838.621582,0.7606201171875,kc
1839.601929,0.811279296875,sw
1849.484985,0.8450927734375,sw
1850.71875,0.5577392578125,sw
1852.185059,0.7098388671875,sw
1859.148438,0.844970703125,sw
1860.0,30.0,3.0
1865.266724,0.74365234375,sw
1872.796265,0.87890625,sw
1875.331421,0.726806640625,sw
1877.152588,0.9127197265625,sw
1878.65686,0.6083984375,sw
1884.623047,0.74365234375,sw
1890.0,30.0,3.0
1893.132935,1.3013916015625,sw
1894.670898,1.1324462890625,sw
1896.47937,1.1661376953125,sw
1897.814575,0.57470703125,sw
1904.938477,1.0648193359375,sw
1909.822998,1.3521728515625,sw
1913.997681,0.8619384765625,sw
1917.141357,0.507080078125,sw
1918.780762,0.828125,sw
1920.0,30.0,3.0
1927.442749,0.6929931640625,kc
1938.504761,1.0478515625,sw
1940.127197,0.6253662109375,kc
1941.056885,0.625244140625,sw
1950.0,30.0,3.0
1950.872314,1.5887451171875,sw
1952.5625,0.9464111328125,sw
1963.844116,1.3690185546875,sw
1965.365234,1.0479736328125,sw
1969.827271,0.96337890625,sw
1980.0,30.0,3.0
2001.07373,0.7943115234375,kc
2002.037109,0.9127197265625,sw
2003.169556,0.811279296875,sw
2006.228638,0.7098388671875,kc
2007.107544,0.9127197265625,sw
2010.0,30.0,3.0
2013.927246,0.6083984375,sw
2017.020264,0.844970703125,sw
2018.659668,0.4732666015625,sw
2020.079346,1.18310546875,sw
2021.515991,0.6253662109375,sw
2028.018799,1.031005859375,sw
2037.868042,0.7774658203125,sw
2040.0,30.0,3.0
2048.574219,0.828125,kc
2052.123535,0.946533203125,sw
2053.256104,0.828125,kc
2056.010986,0.87890625,sw
2057.105225,1.7578125,ambiguo
2068.437744,0.96337890625,sw
2069.616455,0.6591796875,sw
2070.0,30.0,2.0
2080.500977,1.740966796875,sw
2092.526367,0.642333984375,kc
2093.793945,0.895751953125,ambiguo
2096.054688,0.5068359375,sw
2098.762939,1.0986328125,kc
2100.0,30.0,3.0
2102.12207,0.642333984375,kc
2102.7771,0.9296875,sw
2104.602539,0.709716796875,sw
2113.505371,0.91259765625,sw
2115.026367,0.676025390625,sw
2127.081299,0.490234375,sw
2128.036377,1.47021484375,sw
2129.853271,1.673095703125,sw
2130.0,30.0,3.0
2135.886963,0.811279296875,sw
2140.196777,1.62255859375,sw
2142.241943,0.844970703125,sw
2146.43335,0.726806640625,sw
2147.278564,0.74365234375,sw
2148.241943,0.69287109375,sw
2152.43335,0.67626953125,sw
2154.62207,0.490234375,sw
2155.805176,0.89599609375,kc
2156.701172,1.216796875,sw
2158.323486,0.828369140625,sw
2159.181396,0.980224609375,sw
2160.0,30.0,3.0
2160.516602,0.507080078125,sw
2163.884033,0.98046875,sw
2165.608154,0.74365234375,sw
2166.609619,0.540771484375,sw
2168.705322,1.18310546875,sw
2170.606689,0.676025390625,sw
2173.555908,0.946533203125,sw
2176.023682,0.811279296875,sw
2178.034912,1.453369140625,sw
2180.975586,1.132568359375,sw
2184.203857,0.862060546875,sw
2185.826416,0.828125,sw
2189.020752,0.507080078125,sw
